Name,PricePerDay,Deposit,EnginePower,SailArea,Width
Antila 24.4,290,1500,6,30,270
Maxus 24 Evo,360,1700,8,30,255
Aquatic 25T,260,1400,5,31,280
Mariner 24,290,1500,4,26,252
Laguna 25,190,1000,6,29,274
Phobos 25,300,2000,6,30,286
Antila 24,220,2000,4,27,270
Antila 28.8,580,2000,10,39,307
Phobos 24.5,390,1500,4,30,252
Antila 24.4 #2,240,1500,6,30,270
Phobos 25 #2,400,1500,6,30,286
Maxus 24 Evo #2,300,1500,6,30,255
Maxus 24,250,1000,6,27,255
Tes 246 Versus,400,3000,12,32,249
Janmor 25,250,3000,6,30,286
Phobos 24.5 #2,360,1700,5,30,252
